C:\Users\doris\anaconda3\envs\py37\python.exe F:\resource_provision_mec\codes\min_cost\ppo\train.py 
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:75 	 evaluate_reward:61.105246655451566 	 info: [{'cost': 4392.0, 'assigned_user': '50 / 50'}]
step: 150528 / 2000000, lr = 0.00027742079999999996
step: 151552 / 2000000, lr = 0.0002772672
evaluate_num:76 	 evaluate_reward:60.82270531770092 	 info: [{'cost': 4400.0, 'assigned_user': '50 / 50'}]
step: 152576 / 2000000, lr = 0.0002771136
step: 153600 / 2000000, lr = 0.00027696
evaluate_num:77 	 evaluate_reward:60.49326126764607 	 info: [{'cost': 4401.0, 'assigned_user': '50 / 50'}]
step: 154624 / 2000000, lr = 0.00027680639999999997
step: 155648 / 2000000, lr = 0.00027665279999999995
evaluate_num:78 	 evaluate_reward:60.240394250361575 	 info: [{'cost': 4417.0, 'assigned_user': '50 / 50'}]
step: 156672 / 2000000, lr = 0.0002764992
step: 157696 / 2000000, lr = 0.0002763456
evaluate_num:79 	 evaluate_reward:62.03742787920578 	 info: [{'cost': 4315.0, 'assigned_user': '50 / 50'}]
step: 158720 / 2000000, lr = 0.000276192
step: 159744 / 2000000, lr = 0.0002760384
evaluate_num:80 	 evaluate_reward:61.8136372009991 	 info: [{'cost': 4353.0, 'assigned_user': '50 / 50'}]
step: 160768 / 2000000, lr = 0.00027588479999999995
step: 161792 / 2000000, lr = 0.0002757312
evaluate_num:81 	 evaluate_reward:61.12103375029931 	 info: [{'cost': 4398.0, 'assigned_user': '50 / 50'}]
step: 162816 / 2000000, lr = 0.0002755776
step: 163840 / 2000000, lr = 0.00027542399999999997
evaluate_num:82 	 evaluate_reward:62.28203848486207 	 info: [{'cost': 4340.0, 'assigned_user': '50 / 50'}]
step: 164864 / 2000000, lr = 0.00027527039999999996
step: 165888 / 2000000, lr = 0.00027511679999999995
evaluate_num:83 	 evaluate_reward:62.319690615202774 	 info: [{'cost': 4363.0, 'assigned_user': '50 / 50'}]
step: 166912 / 2000000, lr = 0.0002749632
step: 167936 / 2000000, lr = 0.0002748096
evaluate_num:84 	 evaluate_reward:61.939183611054915 	 info: [{'cost': 4354.0, 'assigned_user': '50 / 50'}]
step: 168960 / 2000000, lr = 0.00027465599999999997
step: 169984 / 2000000, lr = 0.0002745024
evaluate_num:85 	 evaluate_reward:62.174337885176314 	 info: [{'cost': 4289.0, 'assigned_user': '50 / 50'}]
step: 171008 / 2000000, lr = 0.00027434879999999994
evaluate_num:86 	 evaluate_reward:61.77178205834885 	 info: [{'cost': 4340.0, 'assigned_user': '50 / 50'}]
step: 172032 / 2000000, lr = 0.0002741952
step: 173056 / 2000000, lr = 0.0002740416
evaluate_num:87 	 evaluate_reward:61.656322343238195 	 info: [{'cost': 4377.0, 'assigned_user': '50 / 50'}]
step: 174080 / 2000000, lr = 0.00027388799999999996
step: 175104 / 2000000, lr = 0.0002737344
evaluate_num:88 	 evaluate_reward:61.46119587412148 	 info: [{'cost': 4406.0, 'assigned_user': '50 / 50'}]
step: 176128 / 2000000, lr = 0.00027358079999999994
step: 177152 / 2000000, lr = 0.0002734272
evaluate_num:89 	 evaluate_reward:60.805626952953716 	 info: [{'cost': 4459.0, 'assigned_user': '50 / 50'}]
step: 178176 / 2000000, lr = 0.00027327359999999997
step: 179200 / 2000000, lr = 0.00027311999999999996
evaluate_num:90 	 evaluate_reward:60.1199011903895 	 info: [{'cost': 4484.0, 'assigned_user': '50 / 50'}]
step: 180224 / 2000000, lr = 0.0002729664
step: 181248 / 2000000, lr = 0.0002728128
evaluate_num:91 	 evaluate_reward:59.51352260893049 	 info: [{'cost': 4548.0, 'assigned_user': '50 / 50'}]
step: 182272 / 2000000, lr = 0.0002726592
step: 183296 / 2000000, lr = 0.00027250559999999997
evaluate_num:92 	 evaluate_reward:59.51202601290446 	 info: [{'cost': 4509.0, 'assigned_user': '50 / 50'}]
step: 184320 / 2000000, lr = 0.00027235199999999996
step: 185344 / 2000000, lr = 0.0002721984
evaluate_num:93 	 evaluate_reward:59.74326940823838 	 info: [{'cost': 4492.0, 'assigned_user': '50 / 50'}]
step: 186368 / 2000000, lr = 0.0002720448
step: 187392 / 2000000, lr = 0.0002718912
evaluate_num:94 	 evaluate_reward:59.459072321006 	 info: [{'cost': 4532.0, 'assigned_user': '50 / 50'}]
step: 188416 / 2000000, lr = 0.00027173759999999996
step: 189440 / 2000000, lr = 0.00027158399999999995
evaluate_num:95 	 evaluate_reward:59.013158398429795 	 info: [{'cost': 4547.0, 'assigned_user': '50 / 50'}]
step: 190464 / 2000000, lr = 0.0002714304
step: 191488 / 2000000, lr = 0.0002712768
evaluate_num:96 	 evaluate_reward:58.81924706320329 	 info: [{'cost': 4581.0, 'assigned_user': '50 / 50'}]
step: 192512 / 2000000, lr = 0.00027112319999999997
step: 193536 / 2000000, lr = 0.00027096959999999996
evaluate_num:97 	 evaluate_reward:58.96698922081626 	 info: [{'cost': 4560.0, 'assigned_user': '50 / 50'}]
step: 194560 / 2000000, lr = 0.00027081599999999995
step: 195584 / 2000000, lr = 0.0002706624
evaluate_num:98 	 evaluate_reward:59.66233978360469 	 info: [{'cost': 4509.0, 'assigned_user': '50 / 50'}]
step: 196608 / 2000000, lr = 0.0002705088
step: 197632 / 2000000, lr = 0.00027035519999999997
evaluate_num:99 	 evaluate_reward:60.07362038450015 	 info: [{'cost': 4472.0, 'assigned_user': '50 / 50'}]
step: 198656 / 2000000, lr = 0.0002702016
step: 199680 / 2000000, lr = 0.00027004799999999995
evaluate_num:100 	 evaluate_reward:61.30313970235522 	 info: [{'cost': 4406.0, 'assigned_user': '50 / 50'}]
step: 200704 / 2000000, lr = 0.0002698944
step: 201728 / 2000000, lr = 0.0002697408
evaluate_num:101 	 evaluate_reward:61.72065109870074 	 info: [{'cost': 4376.0, 'assigned_user': '50 / 50'}]
step: 202752 / 2000000, lr = 0.00026958719999999997
step: 203776 / 2000000, lr = 0.0002694336
evaluate_num:102 	 evaluate_reward:61.634987859211776 	 info: [{'cost': 4388.0, 'assigned_user': '50 / 50'}]
step: 204800 / 2000000, lr = 0.00026927999999999994
step: 205824 / 2000000, lr = 0.0002691264
evaluate_num:103 	 evaluate_reward:61.85596624710905 	 info: [{'cost': 4312.0, 'assigned_user': '50 / 50'}]
step: 206848 / 2000000, lr = 0.0002689728
step: 207872 / 2000000, lr = 0.00026881919999999996
evaluate_num:104 	 evaluate_reward:61.838130299952766 	 info: [{'cost': 4361.0, 'assigned_user': '50 / 50'}]
step: 208896 / 2000000, lr = 0.0002686656
step: 209920 / 2000000, lr = 0.000268512
evaluate_num:105 	 evaluate_reward:61.297710472754446 	 info: [{'cost': 4413.0, 'assigned_user': '50 / 50'}]
step: 210944 / 2000000, lr = 0.0002683584
step: 211968 / 2000000, lr = 0.00026820479999999997
evaluate_num:106 	 evaluate_reward:61.604883997273895 	 info: [{'cost': 4394.0, 'assigned_user': '50 / 50'}]
step: 212992 / 2000000, lr = 0.00026805119999999996
evaluate_num:107 	 evaluate_reward:60.897753020267956 	 info: [{'cost': 4427.0, 'assigned_user': '50 / 50'}]
step: 214016 / 2000000, lr = 0.0002678976
step: 215040 / 2000000, lr = 0.00026774399999999994
evaluate_num:108 	 evaluate_reward:60.45791544608287 	 info: [{'cost': 4453.0, 'assigned_user': '50 / 50'}]
step: 216064 / 2000000, lr = 0.0002675904
step: 217088 / 2000000, lr = 0.00026743679999999997
evaluate_num:109 	 evaluate_reward:60.20434346814007 	 info: [{'cost': 4478.0, 'assigned_user': '50 / 50'}]
step: 218112 / 2000000, lr = 0.00026728319999999996
step: 219136 / 2000000, lr = 0.0002671296
evaluate_num:110 	 evaluate_reward:60.450130493522465 	 info: [{'cost': 4435.0, 'assigned_user': '50 / 50'}]
step: 220160 / 2000000, lr = 0.000266976
step: 221184 / 2000000, lr = 0.0002668224
evaluate_num:111 	 evaluate_reward:60.336421566409165 	 info: [{'cost': 4428.0, 'assigned_user': '50 / 50'}]
step: 222208 / 2000000, lr = 0.00026666879999999996
step: 223232 / 2000000, lr = 0.00026651519999999995
evaluate_num:112 	 evaluate_reward:60.81249560295873 	 info: [{'cost': 4403.0, 'assigned_user': '50 / 50'}]
step: 224256 / 2000000, lr = 0.0002663616
step: 225280 / 2000000, lr = 0.000266208
evaluate_num:113 	 evaluate_reward:60.32328703855553 	 info: [{'cost': 4457.0, 'assigned_user': '50 / 50'}]
step: 226304 / 2000000, lr = 0.00026605439999999997
step: 227328 / 2000000, lr = 0.00026590079999999996
evaluate_num:114 	 evaluate_reward:60.41484952796553 	 info: [{'cost': 4448.0, 'assigned_user': '50 / 50'}]
step: 228352 / 2000000, lr = 0.00026574719999999995
step: 229376 / 2000000, lr = 0.0002655936
evaluate_num:115 	 evaluate_reward:61.44765302036193 	 info: [{'cost': 4407.0, 'assigned_user': '50 / 50'}]
step: 230400 / 2000000, lr = 0.00026544
step: 231424 / 2000000, lr = 0.00026528639999999997
evaluate_num:116 	 evaluate_reward:61.502576147401825 	 info: [{'cost': 4393.0, 'assigned_user': '50 / 50'}]
step: 232448 / 2000000, lr = 0.00026513279999999996
step: 233472 / 2000000, lr = 0.0002649792
evaluate_num:117 	 evaluate_reward:62.0353822431768 	 info: [{'cost': 4348.0, 'assigned_user': '50 / 50'}]
step: 234496 / 2000000, lr = 0.0002648256
step: 235520 / 2000000, lr = 0.000264672
evaluate_num:118 	 evaluate_reward:60.81937201663635 	 info: [{'cost': 4443.0, 'assigned_user': '50 / 50'}]
step: 236544 / 2000000, lr = 0.00026451839999999996
step: 237568 / 2000000, lr = 0.00026436479999999995
evaluate_num:119 	 evaluate_reward:60.982802216578875 	 info: [{'cost': 4423.0, 'assigned_user': '50 / 50'}]
step: 238592 / 2000000, lr = 0.0002642112
step: 239616 / 2000000, lr = 0.0002640576
evaluate_num:120 	 evaluate_reward:61.30548259913571 	 info: [{'cost': 4424.0, 'assigned_user': '50 / 50'}]
step: 240640 / 2000000, lr = 0.00026390399999999997
step: 241664 / 2000000, lr = 0.00026375039999999996
evaluate_num:121 	 evaluate_reward:60.07429022836394 	 info: [{'cost': 4496.0, 'assigned_user': '50 / 50'}]
step: 242688 / 2000000, lr = 0.00026359679999999995
step: 243712 / 2000000, lr = 0.0002634432
evaluate_num:122 	 evaluate_reward:60.48476383844706 	 info: [{'cost': 4475.0, 'assigned_user': '50 / 50'}]
step: 244736 / 2000000, lr = 0.0002632896
step: 245760 / 2000000, lr = 0.00026313599999999997
evaluate_num:123 	 evaluate_reward:58.87968113246003 	 info: [{'cost': 4573.0, 'assigned_user': '50 / 50'}]
step: 246784 / 2000000, lr = 0.0002629824
step: 247808 / 2000000, lr = 0.00026282879999999995
evaluate_num:124 	 evaluate_reward:59.33480097149634 	 info: [{'cost': 4501.0, 'assigned_user': '50 / 50'}]
step: 248832 / 2000000, lr = 0.0002626752
step: 249856 / 2000000, lr = 0.0002625216
evaluate_num:125 	 evaluate_reward:60.647114462650755 	 info: [{'cost': 4475.0, 'assigned_user': '50 / 50'}]
step: 250880 / 2000000, lr = 0.00026236799999999997
step: 251904 / 2000000, lr = 0.00026221439999999995
